Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
3.78,PlayerRed,0.01385498,-0.09503174,-0.002054178,3.022807,(0.0, 0.1),0,0,0,0,0
3.8,PlayerRed,0.01385498,-0.09503174,-0.002197779,3.024242,(0.0, 0.1),0,0,0,0,0
3.82,PlayerRed,0.01385498,-0.09503174,-0.002348477,3.025685,(0.0, 0.1),0,0,0,0,0
3.84,PlayerRed,0.01385498,-0.09503174,-0.002505629,3.027136,(0.0, 0.1),0,0,0,0,0
3.86,PlayerRed,0.01385498,-0.09503174,-0.002668647,3.028592,(0.0, 0.1),0,0,0,0,0
3.88,PlayerRed,0.01385498,-0.09503174,-0.002836998,3.030055,(0.0, 0.1),0,0,0,0,0
3.9,PlayerRed,0.01385498,-0.09503174,-0.003010197,3.031523,(0.0, 0.1),0,0,0,0,0
3.92,PlayerRed,0.01385498,-0.09503174,-0.003187803,3.032995,(0.0, 0.1),0,0,0,0,0
3.94,PlayerRed,0.01385498,-0.09503174,-0.003369416,3.034472,(0.0, 0.1),0,0,0,0,0
3.96,PlayerRed,0.01385498,-0.09503174,-0.003554672,3.035953,(0.0, 0.1),0,0,0,0,0
3.98,PlayerRed,0.01385498,-0.09503174,-0.003743239,3.037437,(0.0, 0.1),0,0,0,0,0
4,PlayerRed,0.01385498,-0.09503174,-0.003934816,3.038925,(0.0, 0.1),0,0,0,0,0
4.02,PlayerRed,0.01385498,-0.09503174,-0.004129129,3.040416,(0.0, 0.1),0,0,0,0,0
4.04,PlayerRed,0.01385498,-0.09503174,-0.00432593,3.041909,(0.0, 0.1),0,0,0,0,0
4.06,PlayerRed,0.01385498,-0.09503174,-0.004524994,3.043405,(0.0, 0.1),0,0,0,0,0
4.08,PlayerRed,0.01385498,-0.09503174,-0.004726113,3.044903,(0.0, 0.1),0,0,0,0,0
4.1,PlayerRed,0.01385498,-0.09503174,-0.004929101,3.046403,(0.0, 0.1),0,0,0,0,0
4.12,PlayerRed,0.01385498,-0.09503174,-0.005133789,3.047905,(0.0, 0.1),0,0,0,0,0
4.14,PlayerRed,0.01385498,-0.09503174,-0.005340021,3.049409,(0.0, 0.1),0,0,0,0,0
4.16,PlayerRed,0.01385498,-0.09503174,-0.005547657,3.050914,(0.0, 0.1),0,0,0,0,0
4.18,PlayerRed,0.01385498,-0.09503174,-0.00575657,3.052421,(0.0, 0.1),0,0,0,0,0
4.2,PlayerRed,0.01385498,-0.09503174,-0.005966644,3.053929,(0.0, 0.1),0,0,0,0,0
4.22,PlayerRed,0.0234375,-0.09024048,-0.006177773,3.055438,(0.0, 0.1),0,0,0,0,0
4.24,PlayerRed,0.009063721,-0.09742737,-0.0064038,3.056941,(0.0, 0.1),0,0,0,0,0
