Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
4.4,PlayerBlue,-1.838747,4.627513,0.1039744,-3.276005,(0.8, -2.2),0,0,0,0,0
4.42,PlayerBlue,-1.838747,4.627513,0.1217134,-3.322725,(0.9, -2.3),0,0,0,0,0
4.44,PlayerBlue,-1.838747,4.627513,0.1405142,-3.371929,(0.9, -2.5),0,0,0,0,0
4.46,PlayerBlue,-1.838747,4.627513,0.1602804,-3.42339,(1.0, -2.6),0,0,0,0,0
4.48,PlayerBlue,-1.838747,4.627513,0.1809243,-3.476905,(1.0, -2.7),0,0,0,0,0
4.5,PlayerBlue,-1.838747,4.627513,0.2023659,-3.532285,(1.1, -2.8),0,0,0,0,0
4.52,PlayerBlue,-1.838747,4.627513,0.2245329,-3.589361,(1.1, -2.9),0,0,0,0,0
4.54,PlayerBlue,-1.838747,4.627513,0.2473592,-3.64798,(1.1, -2.9),0,0,0,0,0
4.56,PlayerBlue,-1.838747,4.627513,0.2707849,-3.708001,(1.2, -3.0),0,0,0,0,0
4.58,PlayerBlue,-1.838747,4.627513,0.2947556,-3.769296,(1.2, -3.1),0,0,0,0,0
4.6,PlayerBlue,-1.838747,4.627513,0.3192217,-3.83175,(1.2, -3.1),0,0,0,0,0
4.62,PlayerBlue,-1.838747,4.627513,0.3441381,-3.895257,(1.2, -3.2),0,0,0,0,0
4.64,PlayerBlue,-1.37906,4.780742,0.3694639,-3.959721,(1.3, -3.2),0,0,0,0,0
4.66,PlayerBlue,-1.37906,4.780742,0.3944933,-4.02528,(1.3, -3.3),0,0,0,0,0
4.68,PlayerBlue,-1.37906,4.780742,0.4192532,-4.091832,(1.2, -3.3),0,0,0,0,0
4.7,PlayerBlue,-1.37906,4.780742,0.4437681,-4.159287,(1.2, -3.4),0,0,0,0,0
4.72,PlayerBlue,-1.37906,4.780742,0.4680603,-4.227564,(1.2, -3.4),0,0,0,0,0
4.74,PlayerBlue,-1.37906,4.780742,0.4921499,-4.296588,(1.2, -3.5),0,0,0,0,0
4.76,PlayerBlue,-1.37906,4.780742,0.5160556,-4.366291,(1.2, -3.5),0,0,0,0,0
4.78,PlayerBlue,-1.37906,4.780742,0.5397939,-4.436611,(1.2, -3.5),0,0,0,0,0
4.8,PlayerBlue,-1.37906,4.780742,0.5633801,-4.507492,(1.2, -3.5),0,0,0,0,0
4.82,PlayerBlue,-1.37906,4.780742,0.5868279,-4.578883,(1.2, -3.6),0,0,0,0,0
4.84,PlayerBlue,-1.37906,4.780742,0.6101501,-4.650738,(1.2, -3.6),0,0,0,0,0
4.86,PlayerBlue,-1.37906,4.780742,0.633358,-4.723015,(1.2, -3.6),0,0,0,0,0
4.88,PlayerBlue,-1.37906,4.780742,0.656462,-4.650355,(1.2, 3.6),0,0,0,0,0
4.9,PlayerBlue,-1.37906,4.780742,0.6794715,-4.591255,(1.2, 3.0),0,0,0,0,0
4.92,PlayerBlue,-1.37906,4.780742,0.7023951,-4.544481,(1.1, 2.3),0,0,0,0,0
4.94,PlayerBlue,-1.685518,4.933971,0.7252407,-4.508914,(1.1, 1.8),0,0,0,0,0
4.96,PlayerBlue,-1.685518,4.933971,0.7484611,-4.483756,(1.2, 1.3),0,0,0,0,0
4.98,PlayerBlue,-1.685518,4.933971,0.7720222,-4.468061,(1.2, 0.8),0,0,0,0,0
5,PlayerBlue,-1.685518,4.933971,0.795893,-4.460971,(1.2, 0.4),0,0,0,0,0
